x;ALLG-72;AMERICAN EXPERIENCE;AT2000 (Suavizada 10%)_FEM;AT2000 (Suavizada 10%)_MAS;AT-2000 FEMALE;AT-2000 MALE;AT-49 FEMALE;AT-49 MALE;AT-50;AT-55;AT-71;AT-83 FEMALE (Basic);AT-83 FEMALE (IAM);AT-83 MALE (Basic);AT-83 MALE (IAM);BR-EMSmt-v.2010-f;BR-EMSmt-v.2010-m;BR-EMSsb-v.2010-f;BR-EMSsb-v.2010-m;BR-EMSmt-v.2015-f;BR-EMSmt-v.2015-m;BR-EMSsb-v.2015-f;BR-EMSsb-v.2015-m;BR-EMSmt-v.2021-f;BR-EMSmt-v.2021-m;BR-EMSsb-v.2021-f;BR-EMSsb-v.2021-m;CSG-60;CSO-41;CSO-58;CSO58 - FEM - AGE LAST;CSO58 - FEM - AGE NEAREST;CSO58 - MAS - AGE LAST;CSO58 - MAS - AGE NEAREST;CSO58 FEMALE;CSO58 MALE;CSO80;EB7-75;GAM-71 FEMALE;GAM-71 MALE;GAM-83 - FEMALE (suav 10%);GAM83_BASICA - FEMALE;GAM83_BASICA - MASC;GAM-83 - MASC (suav 10%);GAM-94 FEMALE;GAM-94MALE;IBGE 2006              Ambos os Sexos;IBGE 2007                 Ambos os Sexos;IBGE 2008                 Ambos os Sexos;IBGE 2009                 Ambos os Sexos
20;0,001320;0,007800;0,000250;0,000499;0,000277;0,000549;0,000376;0,000624;0,000624;0,000553;0,000500;0,000288;0,000260;0,000559;0,000505;0,000370;0,001100;0,000300;0,000800;0,0003307;0,0011606;0,0002313;0,0006045;0,0004229;0,0009021;0,0003283;0,0007932;0,002090;0,002430;0,001790;0,001655;0,001620;0,001810;0,001790;0,000700;0,000840;0,001900;0,001336;0,000260;0,000503;0,000189;0,000210;0,000419;0,000377;0,000284;0,000507;0,001530;0,001489;0,001465;0,001423
21;0,001280;0,007860;0,000265;0,000519;0,000294;0,000573;0,000398;0,000648;0,000648;0,000574;0,000520;0,000306;0,000276;0,000581;0,000525;0,000360;0,001170;0,000300;0,000850;0,0003653;0,0011614;0,000252;0,0007069;0,0004275;0,0009570;0,0003309;0,0008437;0,002140;0,002510;0,001830;0,001715;0,001690;0,001845;0,001830;0,000760;0,000870;0,001910;0,001347;0,000275;0,000522;0,000201;0,000223;0,000435;0,000392;0,000286;0,000530;0,001657;0,001630;0,001588;0,001541
22;0,001120;0,007910;0,000281;0,000542;0,000312;0,000599;0,000421;0,000674;0,000674;0,000597;0,000540;0,000325;0,000293;0,000605;0,000546;0,000360;0,001220;0,000290;0,000890;0,0003893;0,0011614;0,0002726;0,0007623;0,0004295;0,0009976;0,0003319;0,0008765;0,002180;0,002590;0,001860;0,001765;0,001740;0,001875;0,001860;0,000800;0,000890;0,001890;0,001358;0,000292;0,000544;0,000212;0,000236;0,000453;0,000408;0,000289;0,000556;0,001756;0,001727;0,001682;0,001631
23;0,001170;0,007960;0,000298;0,000566;0,000330;0,000627;0,000446;0,000702;0,000702;0,000622;0,000570;0,000345;0,000311;0,000632;0,000570;0,000350;0,001250;0,000290;0,000920;0,0004;0,0011071;0,000287;0,0007817;0,0004303;0,0010249;0,0003320;0,0008922;0,002210;0,002680;0,001890;0,001810;0,001790;0,001900;0,001890;0,000840;0,000910;0,001860;0,001360;0,000309;0,000566;0,000225;0,000250;0,000471;0,000424;0,000292;0,000589;0,001817;0,001786;0,001738;0,001685
24;0,001140;0,008010;0,000314;0,000592;0,000349;0,000657;0,000473;0,000733;0,000733;0,000649;0,000590;0,000366;0,000330;0,000661;0,000596;0,000350;0,001270;0,000290;0,000930;0,000398;0,0010760;0,0002872;0,0007731;0,0004311;0,0010404;0,0003319;0,0008950;0,002240;0,002770;0,001910;0,001845;0,001830;0,001920;0,001910;0,000870;0,000920;0,001820;0,001371;0,000327;0,000591;0,000239;0,000265;0,000493;0,000444;0,000291;0,000624;0,001852;0,001818;0,001767;0,001712
25;0,001120;0,008060;0,000331;0,000616;0,000367;0,000686;0,000501;0,000768;0,000768;0,000679;0,000620;0,000388;0,000349;0,000692;0,000622;0,000350;0,001270;0,000290;0,000930;0,0003921;0,0010557;0,0002883;0,0007544;0,0004332;0,0010472;0,0003321;0,0008865;0,002260;0,002880;0,001930;0,001875;0,001860;0,001945;0,001930;0,000890;0,000930;0,001770;0,001382;0,000347;0,000619;0,000253;0,000281;0,000515;0,000464;0,000291;0,000661;0,001877;0,001840;0,001786;0,001729
26;0,001110;0,008130;0,000347;0,000639;0,000385;0,000714;0,000531;0,000806;0,000806;0,000712;0,000650;0,000410;0,000368;0,000724;0,000650;0,000360;0,001270;0,000290;0,000930;0,0003997;0,0010491;0,0002895;0,0007373;0,0004374;0,0010481;0,0003333;0,0008698;0,002280;0,002990;0,001960;0,001900;0,001890;0,001975;0,001960;0,000910;0,000950;0,001730;0,001402;0,000368;0,000650;0,000268;0,000298;0,000542;0,000488;0,000294;0,000696;0,001907;0,001868;0,001810;0,001752
27;0,001120;0,008200;0,000362;0,000659;0,000403;0,000738;0,000563;0,000849;0,000849;0,000749;0,000680;0,000431;0,000387;0,000756;0,000677;0,000370;0,001260;0,000300;0,000920;0,0004128;0,0010373;0,0002978;0,0007298;0,0004445;0,0010458;0,0003359;0,0008498;0,002300;0,003110;0,001990;0,001920;0,001910;0,002010;0,001990;0,000920;0,000970;0,001710;0,001413;0,000390;0,000684;0,000284;0,000315;0,000570;0,000513;0,000302;0,000727;0,001945;0,001914;0,001843;0,001783
28;0,001150;0,008260;0,000376;0,000675;0,000419;0,000758;0,000598;0,000896;0,000896;0,000791;0,000720;0,000452;0,000405;0,000788;0,000704;0,000390;0,001260;0,000320;0,000920;0,0004337;0,0010233;0,0003144;0,0007258;0,0004551;0,0010428;0,0003403;0,0008284;0,002330;0,003250;0,002030;0,001945;0,001930;0,002055;0,002030;0,000930;0,001000;0,001700;0,001452;0,000414;0,000722;0,000302;0,000335;0,000602;0,000542;0,000314;0,000754;0,001998;0,001960;0,001891;0,001830
29;0,001180;0,008340;0,000389;0,000687;0,000435;0,000774;0,000636;0,000947;0,000947;0,000839;0,000760;0,000473;0,000423;0,000819;0,000731;0,000410;0,001250;0,000330;0,000910;0,0004563;0,0010371;0,0003336;0,0007177;0,0004696;0,0010418;0,0003468;0,0008092;0,002360;0,003400;0,002080;0,001975;0,001960;0,002105;0,002080;0,000950;0,001040;0,001710;0,001472;0,000440;0,000763;0,000320;0,000356;0,000636;0,000572;0,000331;0,000779;0,002065;0,002027;0,001953;0,001890
